label	faixa_pf	n	n_adq	prevalencia_pct
basica	1	313465	0	0.0000
basica	2	323211	490	0.1516
basica	3-4	92941	559	0.6015
basica	5+	35070	561	1.5997
sem_holding	1	313465	0	0.0000
sem_holding	2	323211	462	0.1429
sem_holding	3-4	92941	488	0.5251
sem_holding	5+	35070	467	1.3316
maioria	1	313465	0	0.0000
maioria	2	323211	490	0.1516
maioria	3-4	92941	251	0.2701
maioria	5+	35070	219	0.6245
total	1	313465	0	0.0000
total	2	323211	0	0.0000
total	3-4	92941	0	0.0000
total	5+	35070	0	0.0000
pf_zerou	1	313465	1	0.0003
pf_zerou	2	323211	0	0.0000
pf_zerou	3-4	92941	0	0.0000
pf_zerou	5+	35070	0	0.0000
